COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
6000036,9,01/01/2025 01:00,4,M
6000036,9,01/01/2025 02:00,4,M
6000036,9,01/01/2025 03:00,3,M
6000036,9,01/01/2025 04:00,3,M
6000036,9,01/01/2025 05:00,3,M
6000036,9,01/01/2025 06:00,2,M
6000036,9,01/01/2025 07:00,2,M
6000036,9,01/01/2025 08:00,2,M
6000036,9,01/01/2025 09:00,3,M
6000036,9,01/01/2025 10:00,2,M
6000036,9,01/01/2025 11:00,2,M
6000036,9,01/01/2025 12:00,2,M
6000036,9,01/01/2025 13:00,2,M
6000036,9,01/01/2025 14:00,2,M
6000036,9,01/01/2025 15:00,2,M
6000036,9,01/01/2025 16:00,2,M
6000036,9,01/01/2025 17:00,7,M
6000036,9,01/01/2025 18:00,8,M
6000036,9,01/01/2025 19:00,5,M
6000036,9,01/01/2025 20:00,2,M
6000036,9,01/01/2025 21:00,2,M
6000036,9,01/01/2025 22:00,2,M
6000036,9,01/01/2025 23:00,1,M
6000036,9,02/01/2025 00:00,1,M
6000036,9,02/01/2025 01:00,1,M
6000036,9,02/01/2025 02:00,1,M
6000036,9,02/01/2025 03:00,1,M
6000036,9,02/01/2025 04:00,1,M
6000036,9,02/01/2025 05:00,1,M
6000036,9,02/01/2025 06:00,1,M
6000036,9,02/01/2025 07:00,1,M
6000036,9,02/01/2025 08:00,1,M
6000036,9,02/01/2025 09:00,1,M
6000036,9,02/01/2025 10:00,1,M
6000036,9,02/01/2025 11:00,1,M
6000036,9,02/01/2025 12:00,1,M
6000036,9,02/01/2025 13:00,1,M
6000036,9,02/01/2025 14:00,1,M
6000036,9,02/01/2025 15:00,2,M
6000036,9,02/01/2025 16:00,2,M
6000036,9,02/01/2025 17:00,1,M
6000036,9,02/01/2025 18:00,2,M
6000036,9,02/01/2025 19:00,2,M
6000036,9,02/01/2025 20:00,1,M
6000036,9,02/01/2025 21:00,1,M
6000036,9,02/01/2025 22:00,1,M
6000036,9,02/01/2025 23:00,1,M
6000036,9,03/01/2025 00:00,1,M
6000036,9,03/01/2025 01:00,1,M
6000036,9,03/01/2025 02:00,1,M
6000036,9,03/01/2025 03:00,1,M
6000036,9,03/01/2025 04:00,0,M
6000036,9,03/01/2025 05:00,1,M
6000036,9,03/01/2025 06:00,1,M
6000036,9,03/01/2025 07:00,1,M
6000036,9,03/01/2025 08:00,1,M
6000036,9,03/01/2025 09:00,2,M
6000036,9,03/01/2025 10:00,4,M
6000036,9,03/01/2025 11:00,4,M
6000036,9,03/01/2025 12:00,4,M
6000036,9,03/01/2025 13:00,4,M
6000036,9,03/01/2025 14:00,5,M
6000036,9,03/01/2025 15:00,6,M
6000036,9,03/01/2025 16:00,39,M
6000036,9,03/01/2025 17:00,21,M
6000036,9,03/01/2025 18:00,16,M
6000036,9,03/01/2025 19:00,14,M
6000036,9,03/01/2025 20:00,14,M
6000036,9,03/01/2025 21:00,10,M
6000036,9,03/01/2025 22:00,6,M
6000036,9,03/01/2025 23:00,4,M
6000036,9,04/01/2025 00:00,4,M
6000036,9,04/01/2025 01:00,3,M
6000036,9,04/01/2025 02:00,3,M
6000036,9,04/01/2025 03:00,3,M
6000036,9,04/01/2025 04:00,3,M
6000036,9,04/01/2025 05:00,3,M
6000036,9,04/01/2025 06:00,2,M
6000036,9,04/01/2025 07:00,3,M
6000036,9,04/01/2025 08:00,2,M
6000036,9,04/01/2025 09:00,2,M
6000036,9,04/01/2025 10:00,2,M
6000036,9,04/01/2025 11:00,2,M
6000036,9,04/01/2025 12:00,3,M
6000036,9,04/01/2025 13:00,4,M
6000036,9,04/01/2025 14:00,5,M
6000036,9,04/01/2025 15:00,5,M
6000036,9,04/01/2025 16:00,6,M
6000036,9,04/01/2025 17:00,8,M
6000036,9,04/01/2025 18:00,8,M
6000036,9,04/01/2025 19:00,6,M
6000036,9,04/01/2025 20:00,5,M
6000036,9,04/01/2025 21:00,5,M
6000036,9,04/01/2025 22:00,5,M
6000036,9,04/01/2025 23:00,4,M
6000036,9,05/01/2025 00:00,3,M
6000036,9,05/01/2025 01:00,2,M
6000036,9,05/01/2025 02:00,2,M
6000036,9,05/01/2025 03:00,2,M
6000036,9,05/01/2025 04:00,2,M
6000036,9,05/01/2025 05:00,1,M
6000036,9,05/01/2025 06:00,2,M
6000036,9,05/01/2025 07:00,2,M
6000036,9,05/01/2025 08:00,2,M
6000036,9,05/01/2025 09:00,2,M
6000036,9,05/01/2025 10:00,2,M
6000036,9,05/01/2025 11:00,2,M
6000036,9,05/01/2025 12:00,3,M
6000036,9,05/01/2025 13:00,3,M
6000036,9,05/01/2025 14:00,3,M
6000036,9,05/01/2025 15:00,5,M
6000036,9,05/01/2025 16:00,4,M
6000036,9,05/01/2025 17:00,4,M
6000036,9,05/01/2025 18:00,4,M
6000036,9,05/01/2025 19:00,4,M
6000036,9,05/01/2025 20:00,4,M
6000036,9,05/01/2025 21:00,3,M
6000036,9,05/01/2025 22:00,3,M
6000036,9,05/01/2025 23:00,3,M
6000036,9,06/01/2025 00:00,2,M
6000036,9,06/01/2025 01:00,2,M
6000036,9,06/01/2025 02:00,2,M
6000036,9,06/01/2025 03:00,1,M
6000036,9,06/01/2025 04:00,1,M
6000036,9,06/01/2025 05:00,2,M
6000036,9,06/01/2025 06:00,1,M
6000036,9,06/01/2025 07:00,1,M
6000036,9,06/01/2025 08:00,1,M
6000036,9,06/01/2025 09:00,1,M
6000036,9,06/01/2025 10:00,2,M
6000036,9,06/01/2025 11:00,2,M
6000036,9,06/01/2025 12:00,2,M
6000036,9,06/01/2025 13:00,2,M
6000036,9,06/01/2025 14:00,2,M
6000036,9,06/01/2025 15:00,2,M
6000036,9,06/01/2025 16:00,2,M
6000036,9,06/01/2025 17:00,2,M
6000036,9,06/01/2025 18:00,2,M
6000036,9,06/01/2025 19:00,2,M
6000036,9,06/01/2025 20:00,2,M
6000036,9,06/01/2025 21:00,2,M
6000036,9,06/01/2025 22:00,2,M
6000036,9,06/01/2025 23:00,2,M
6000036,9,07/01/2025 00:00,2,M
6000036,9,07/01/2025 01:00,2,M
6000036,9,07/01/2025 02:00,2,M
6000036,9,07/01/2025 03:00,2,M
6000036,9,07/01/2025 04:00,2,M
6000036,9,07/01/2025 05:00,2,M
6000036,9,07/01/2025 06:00,2,M
6000036,9,07/01/2025 07:00,2,M
6000036,9,07/01/2025 08:00,2,M
6000036,9,07/01/2025 09:00,2,M
6000036,9,07/01/2025 10:00,3,M
6000036,9,07/01/2025 11:00,3,M
6000036,9,07/01/2025 12:00,3,M
6000036,9,07/01/2025 13:00,2,M
6000036,9,07/01/2025 14:00,2,M
6000036,9,07/01/2025 15:00,3,M
6000036,9,07/01/2025 16:00,2,M
6000036,9,07/01/2025 17:00,2,M
6000036,9,07/01/2025 18:00,3,M
6000036,9,07/01/2025 19:00,2,M
6000036,9,07/01/2025 20:00,2,M
6000036,9,07/01/2025 21:00,2,M
6000036,9,07/01/2025 22:00,2,M
6000036,9,07/01/2025 23:00,1,M
6000036,9,08/01/2025 00:00,1,M
6000036,9,08/01/2025 01:00,1,M
6000036,9,08/01/2025 02:00,1,M
6000036,9,08/01/2025 03:00,1,M
6000036,9,08/01/2025 04:00,1,M
6000036,9,08/01/2025 05:00,1,M
6000036,9,08/01/2025 06:00,1,M
6000036,9,08/01/2025 07:00,0,M
6000036,9,08/01/2025 08:00,1,M
6000036,9,08/01/2025 09:00,1,M
6000036,9,08/01/2025 10:00,1,M
6000036,9,08/01/2025 11:00,1,M
6000036,9,08/01/2025 12:00,1,M
6000036,9,08/01/2025 13:00,1,M
6000036,9,08/01/2025 14:00,1,M
6000036,9,08/01/2025 15:00,2,M
6000036,9,08/01/2025 16:00,2,M
6000036,9,08/01/2025 17:00,1,M
