COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
3000006,8,01/01/2011 00,01/01/2011 01,73,ug/m3
3000006,8,01/01/2011 01,01/01/2011 02,92.5,ug/m3
3000006,8,01/01/2011 02,01/01/2011 03,67.1,ug/m3
3000006,8,01/01/2011 03,01/01/2011 04,55.7,ug/m3
3000006,8,01/01/2011 04,01/01/2011 05,41.9,ug/m3
3000006,8,01/01/2011 05,01/01/2011 06,38.4,ug/m3
3000006,8,01/01/2011 06,01/01/2011 07,43.2,ug/m3
3000006,8,01/01/2011 07,01/01/2011 08,42.7,ug/m3
3000006,8,01/01/2011 08,01/01/2011 09,42.8,ug/m3
3000006,8,01/01/2011 09,01/01/2011 10,39.3,ug/m3
3000006,8,01/01/2011 10,01/01/2011 11,40,ug/m3
3000006,8,01/01/2011 11,01/01/2011 12,51.1,ug/m3
3000006,8,01/01/2011 12,01/01/2011 13,57.8,ug/m3
3000006,8,01/01/2011 13,01/01/2011 14,62.6,ug/m3
3000006,8,01/01/2011 14,01/01/2011 15,74.1,ug/m3
3000006,8,01/01/2011 15,01/01/2011 16,81.3,ug/m3
3000006,8,01/01/2011 16,01/01/2011 17,83.8,ug/m3
3000006,8,01/01/2011 17,01/01/2011 18,91.1,ug/m3
3000006,8,01/01/2011 18,01/01/2011 19,116.1,ug/m3
3000006,8,01/01/2011 19,01/01/2011 20,75.8,ug/m3
3000006,8,01/01/2011 20,01/01/2011 21,64.4,ug/m3
3000006,8,01/01/2011 21,01/01/2011 22,61.9,ug/m3
3000006,8,01/01/2011 22,01/01/2011 23,62.8,ug/m3
3000006,8,01/01/2011 23,02/01/2011 00,59.1,ug/m3
3000006,8,02/01/2011 00,02/01/2011 01,62,ug/m3
3000006,8,02/01/2011 01,02/01/2011 02,54.5,ug/m3
3000006,8,02/01/2011 02,02/01/2011 03,48.9,ug/m3
3000006,8,02/01/2011 03,02/01/2011 04,51.1,ug/m3
3000006,8,02/01/2011 04,02/01/2011 05,47.2,ug/m3
3000006,8,02/01/2011 05,02/01/2011 06,38.1,ug/m3
3000006,8,02/01/2011 06,02/01/2011 07,46.7,ug/m3
3000006,8,02/01/2011 07,02/01/2011 08,42.3,ug/m3
3000006,8,02/01/2011 08,02/01/2011 09,41.4,ug/m3
3000006,8,02/01/2011 09,02/01/2011 10,38.8,ug/m3
3000006,8,02/01/2011 10,02/01/2011 11,45.6,ug/m3
3000006,8,02/01/2011 11,02/01/2011 12,44.2,ug/m3
3000006,8,02/01/2011 12,02/01/2011 13,47.9,ug/m3
3000006,8,02/01/2011 13,02/01/2011 14,51.1,ug/m3
3000006,8,02/01/2011 14,02/01/2011 15,54.6,ug/m3
3000006,8,02/01/2011 15,02/01/2011 16,55.7,ug/m3
3000006,8,02/01/2011 16,02/01/2011 17,57.4,ug/m3
3000006,8,02/01/2011 17,02/01/2011 18,60.9,ug/m3
3000006,8,02/01/2011 18,02/01/2011 19,65.7,ug/m3
3000006,8,02/01/2011 19,02/01/2011 20,62.9,ug/m3
3000006,8,02/01/2011 20,02/01/2011 21,65.6,ug/m3
3000006,8,02/01/2011 21,02/01/2011 22,62.2,ug/m3
3000006,8,02/01/2011 22,02/01/2011 23,55.4,ug/m3
3000006,8,02/01/2011 23,03/01/2011 00,53.1,ug/m3
3000006,8,03/01/2011 00,03/01/2011 01,52.3,ug/m3
3000006,8,03/01/2011 01,03/01/2011 02,48.1,ug/m3
3000006,8,03/01/2011 02,03/01/2011 03,48.3,ug/m3
3000006,8,03/01/2011 03,03/01/2011 04,45.7,ug/m3
3000006,8,03/01/2011 04,03/01/2011 05,44.5,ug/m3
3000006,8,03/01/2011 05,03/01/2011 06,45.2,ug/m3
3000006,8,03/01/2011 06,03/01/2011 07,52,ug/m3
3000006,8,03/01/2011 07,03/01/2011 08,56,ug/m3
3000006,8,03/01/2011 08,03/01/2011 09,57.5,ug/m3
3000006,8,03/01/2011 09,03/01/2011 10,57.5,ug/m3
3000006,8,03/01/2011 10,03/01/2011 11,51.5,ug/m3
3000006,8,03/01/2011 11,03/01/2011 12,38.1,ug/m3
3000006,8,03/01/2011 12,03/01/2011 13,28.5,ug/m3
3000006,8,03/01/2011 13,03/01/2011 14,25.9,ug/m3
3000006,8,03/01/2011 14,03/01/2011 15,22.6,ug/m3
3000006,8,03/01/2011 15,03/01/2011 16,25.4,ug/m3
3000006,8,03/01/2011 16,03/01/2011 17,36.8,ug/m3
3000006,8,03/01/2011 17,03/01/2011 18,66.1,ug/m3
3000006,8,03/01/2011 18,03/01/2011 19,70.7,ug/m3
3000006,8,03/01/2011 19,03/01/2011 20,121.3,ug/m3
3000006,8,03/01/2011 20,03/01/2011 21,109.4,ug/m3
3000006,8,03/01/2011 21,03/01/2011 22,72.8,ug/m3
3000006,8,03/01/2011 22,03/01/2011 23,56.3,ug/m3
3000006,8,03/01/2011 23,04/01/2011 00,57.5,ug/m3
3000006,8,04/01/2011 00,04/01/2011 01,54.5,ug/m3
3000006,8,04/01/2011 01,04/01/2011 02,35.7,ug/m3
3000006,8,04/01/2011 02,04/01/2011 03,39.6,ug/m3
